Gender,Customer_ID,Category,Product_Description,Date,Colour,Size,Quantity_Sold,Sub_Total,Shipping_Fee,Total_Amount,Bill_To_City,Type_Of_Sale
Male,d4914c8a6836531def13d8baebcaf0ea,Shorts,Nike PRO Shorts Big Size,44050,Blue,3XL,1,1200,0,1200,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,Shorts,Nike PRO Shorts Big Size,44050,Gray,3XL,1,1200,0,1200,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,Bottoms,Under Armour Tights,44016,Black,XXL,1,1400,0,1400,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,Jackets,Nike Dri-fit Jacket,44016,Blue,L,1,1500,0,1500,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,T Shirts,Adidas Polo,43857,Black,XL,1,1000,0,1000,Nakuru,Walk In
Male,836273758c2b9392a97c97da5c104472,Jackets,Nike Dri-fit Jacket,44029,Black-Gray,XXL,1,1700,0,1700,Bungoma,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,T Shirts,Nike Reflective Long Sleeve #22,45297,Light Gray,M,2,2300,400,2700,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,T Shirts,Nike Men Essential Tshirts #20,45297,Blue,M,1,2000,400,2400,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Vests,Nike Sleeveless Legend Vest #23,45297,Brown,M,2,2100,400,2500,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Vests,Nike Sleeveless Legend Vest #23,45297,Blue,M,1,2100,400,2500,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Shorts,Nike Men Safari Shorts #23,45297,Tie & Dye,M,1,2100,400,2500,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Shorts,Nike Men Unlimited Shorts #24,45297,Dark Brown,M,2,2500,400,2900,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Shorts,Nike Men Unlimited Shorts #24,45297,Dark Blue,M,1,2500,400,2900,Nairobi,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Men Tshirts Long #07 T1,44348,Black,XL,1,1700,0,1700,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Dri-fit Men Tshirts #07,44348,Light Blue,XL,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Dri-fit Men Tshirts #07,44348,Blush,XL,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Dri-Fit Gym Bra (W) #07,44348,Red,M,1,1450,0,1450,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Dri-Fit Gym Bra (W) #07,44348,Gray,M,1,1450,0,1450,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Dri-Fit Long Pants (W) #07,44348,Gray,XL,1,1550,0,1550,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Dri-Fit Long Pants (W) #07,44348,Black,XL,1,1550,0,1550,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Dri-fit Tshirts #06 T1,44348,Black,XL,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Men Tshirts Long #07 T2,44348,Red,XL,1,1700,0,1700,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Men Tshirts Long #07 T1,44348,Light-Blue,L,1,1700,0,1700,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Dri-fit Men Tshirts #07,44348,Light Gray,XL,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Dri-fit Men Tshirts #07,44348,Black,XL,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,T Shirts,Nike Dri-fit Men Tshirts #07,44348,Gray,XL,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Joggers,Nike Shield Joggers #07,44348,Black,L,1,2100,0,2100,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Shorts,Nike Dri-fit Shorts #08 Print,44348,Black White,M,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Shorts,Nike Dri-fit Shorts #08 Print,44348,Green,L,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Shorts,Nike Dri-fit Shorts #08 Print,44348,Black Red,L,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Shorts,Nike Dri-fit Shorts #08 Print,44348,Blue,L,1,1500,0,1500,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Compression Pants #07,44348,Black,L,1,1550,0,1550,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Jogger Pants (W) #07,44348,Light Blue,XL,1,2100,0,2100,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Bottoms,Nike Jogger Pants (W) #07,44348,Black,XL,1,2100,0,2100,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Hoodies,Nike Cotton Hoodie #09,45358,Blue,M,1,3300,300,3600,Gilgil,Online
Male,323a93c3986d7dcb90704886445c7c4a,Jackets,Nike Dri-fit Jacket 1Layer #12,45358,Cream,S,1,2700,300,3000,Gilgil,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Tracksuit,UA Tracksuit Men #21,45264,Dark Green,L,1,5000,400,5400,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Tracksuit,Nike Tracksuit Men #21,45264,Black,L,1,5000,400,5400,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Caps,Nike Heritage 86 Cap #19,45264,Black,O.S,1,2100,400,2500,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Shorts,Nike Men Versatile Shorts #22,45264,Black,M,1,2500,400,2900,Nairobi,Online
Male,cd6366e92dea4b9ba26ef6dce48b3b23,Shorts,Nike Men Versatile Shorts #22,45264,White - Gray,M,1,2500,400,2900,Nairobi,Online
Male,135a10a552cab83f8215883ef41e8e03,Ankle,Ankle Support,45148,Black,XL,2,750,0,750,Nakuru,Walk In
Male,135a10a552cab83f8215883ef41e8e03,Shorts,Nike Men Cool Shorts #18,45148,Blue Gray,3XL,1,1900,0,1900,Nakuru,Walk In
Male,c9b5de22ac5dde2f5df6f9da03e3f2b5,T Shirts,Nike Mesh Men Tshirts #09,45329,Blue,M,1,1600,330,1930,Nairobi,Online
Male,c9b5de22ac5dde2f5df6f9da03e3f2b5,T Shirts,Nike Reflective Long Sleeve #22,45329,Black,M,1,2300,330,2630,Nairobi,Online
Male,c9b5de22ac5dde2f5df6f9da03e3f2b5,Shorts,Nike Men Beach Shorts #09,45329,Orange Stripe,M,1,1600,330,1930,Nairobi,Online
Male,c9b5de22ac5dde2f5df6f9da03e3f2b5,Joggers,Adidas Joggers,45329,Yellow,S,1,2200,330,2530,Nairobi,Online
Male,c9b5de22ac5dde2f5df6f9da03e3f2b5,Tracksuit,UA Tracksuit Men #21,45329,Dark Green,S,1,5000,330,5330,Nairobi,Online
Male,c9b5de22ac5dde2f5df6f9da03e3f2b5,Tracksuit,Nike Tracksuit Men #26,45329,Light Blue,S,1,5500,330,5830,Nairobi,Online
Male,975797f8754881087102364d5fdb4dba,T Shirts,Gap,43985,Black,S,1,550,0,550,Nairobi,Online
Male,975797f8754881087102364d5fdb4dba,T Shirts,Gap,43985,Brown,M,1,550,0,550,Nairobi,Online
Male,975797f8754881087102364d5fdb4dba,T Shirts,Gap,43985,Blue,M,1,550,0,550,Nairobi,Online
